BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;BaciaCodigo;3;
01/02/1979;85.1108;01/03/2008;110.70352857142858;01/02/1979;158.76102857142857;01/03/1992;138.3809;01/03/1984;21.107657142857143;01/03/1984;63.267242857142854;01/03/1984;99.99505714285715;01/02/1993;0.1191;01/02/1989;3.9186;01/04/1987;2.7033857142857136;01/03/1995;338.02840000000003;01/04/2008;0.0;01/04/1984;6.259128571428571;01/04/1993;0.0;01/04/1996;0.0;01/03/1984;266.59011428571426;01/04/1992;340.7961;01/04/1995;0.24752857142857138;01/04/1977;0.04582857142857142;01/04/1984;1.7509999999999997;01/04/2000;1.9003;01/04/1993;291.26327142857144;01/04/2003;0.0;01/04/1984;0.0;01/04/1984;0.0;
01/02/1980;97.51315714285714;01/03/2009;128.94025714285715;01/02/1980;172.45017142857142;01/03/1993;135.48849999999996;01/03/1985;23.418371428571422;01/03/1985;71.66184285714286;01/03/1985;118.97000000000003;01/02/1994;0.053;01/02/1991;1.9688285714285712;01/04/1988;2.6422285714285714;01/03/1996;295.5558714285714;01/04/2009;0.0;01/04/1985;3.6832;01/04/1994;0.0;01/04/1998;0.0;01/03/1985;264.33219999999994;01/04/1993;354.079;01/04/1996;0.2159;01/04/1978;0.0034142857142857143;01/04/1985;6.595757142857144;01/04/2001;3.493099999999999;01/04/1994;329.7349;01/04/2004;0.0;01/04/1985;0.0;01/04/1985;2.9524000000000004;
01/02/1981;83.503;01/03/2010;110.70352857142858;01/02/1981;160.11190000000002;01/03/1994;135.48849999999996;01/03/1986;24.206614285714284;01/03/1986;75.3224;01/03/1986;120.44582857142856;01/02/1995;0.0408;01/02/1992;0.9869285714285715;01/04/1989;6.58662857142857;01/03/1997;339.7372142857143;01/04/2011;0.0;01/04/1986;4.740585714285714;01/04/1995;0.0;01/04/2001;0.0;01/03/1986;331.73034285714283;01/04/1994;333.9492428571429;01/04/2004;0.3705857142857143;01/04/1979;0.0;01/04/1986;4.2249428571428576;01/04/2002;0.8812428571428571;01/04/1995;336.74717142857145;01/04/2005;0.0;01/04/1986;0.0;01/04/1986;2.8652285714285712;
01/02/1982;83.60325714285715;01/03/2011;105.3503142857143;01/02/1982;162.6274857142857;01/03/1995;129.7755;01/03/1987;21.76865714285714;01/03/1987;60.81905714285714;01/03/1987;99.65177142857144;01/02/1996;0.053;01/02/1993;1.4957571428571428;01/04/1990;3.3354857142857144;01/03/1998;283.6843857142857;01/04/2012;0.001042857142857143;01/04/1987;0.0;01/04/1998;0.0;01/04/2003;0.0;01/03/1987;316.3845428571429;01/04/1995;289.21174285714284;01/04/2009;0.27138571428571423;01/04/1980;0.0;01/04/1987;2.0426285714285717;01/04/2003;1.1038;01/04/1996;317.4459428571428;01/04/2006;0.0;01/04/1988;0.0;01/04/1987;0.0;
01/02/1983;75.44027142857144;01/03/2012;114.91324285714286;01/02/1983;144.5905857142857;01/03/1996;126.95489999999998;01/03/1988;25.2786;01/03/1988;54.913442857142854;01/03/1988;96.43577142857141;01/02/1997;0.12507142857142856;01/02/1994;0.8578428571428571;01/04/1991;1.599;01/03/1999;306.8609571428571;01/04/2013;0.0;01/04/1988;0.0;01/04/1999;0.0;01/04/2008;0.5366428571428571;01/03/1988;318.8236;01/04/1996;281.1468;01/04/2015;0.0;01/04/1981;0.0;01/04/1988;4.535185714285714;01/04/2004;1.3846142857142856;01/04/1997;308.8995;01/04/2008;0.0;01/04/1989;0.0;01/04/1988;0.0;
01/02/1984;74.67001428571427;01/03/2013;116.8732142857143;01/02/1984;143.50125714285713;01/03/1997;151.09221428571428;01/03/1989;28.017228571428575;01/03/1989;61.73239999999999;01/03/1989;103.43769999999999;01/02/1998;0.017528571428571428;01/02/1995;0.7355571428571429;01/04/1992;1.7730857142857144;01/03/2000;297.4243;01/04/2014;0.0;01/04/1989;0.0731142857142857;01/04/2000;0.0;01/04/2009;0.45499999999999996;01/03/1989;270.65474285714294;01/04/1997;353.3169714285714;01/04/2016;0.0;01/04/1982;0.0;01/04/1989;6.374214285714286;01/04/2005;1.121114285714286;01/04/1998;255.5821857142857;01/04/2009;0.0;01/04/1992;0.0;01/04/1989;1.9510428571428575;
01/02/1985;75.05514285714285;01/03/2014;111.51487142857142;01/02/1985;152.88998571428573;01/03/1998;127.0113142857143;01/03/1990;27.117314285714283;01/03/1990;62.13819999999999;01/03/1990;99.82254285714285;01/02/1999;0.0212;01/02/1996;1.6966142857142856;01/04/1993;1.2309857142857141;01/03/2001;300.8179285714286;01/04/2016;0.004085714285714285;01/04/1991;0.0;01/04/2001;0.0;01/04/2010;0.12442857142857144;01/03/1990;254.66694285714286;01/04/1998;296.51647142857144;01/04/2017;0.0;01/04/1984;0.0;01/04/1990;2.658828571428571;01/04/2006;1.8030714285714284;01/04/1999;302.87795714285716;01/04/2010;0.0;01/04/1994;0.0;01/04/1990;0.0;
01/02/1986;80.22298571428571;01/03/2015;101.06134285714286;01/02/1986;163.6012142857143;01/03/1999;126.81050000000002;01/03/1991;24.756028571428573;01/03/1991;60.5203;01/03/1991;94.59755714285713;01/02/2000;0.013899999999999997;01/02/1997;5.400442857142857;01/04/1994;1.4421142857142857;01/03/2002;286.5801714285714;01/04/2017;0.05569999999999999;01/04/1993;0.0;01/04/2003;0.0;01/04/2011;0.29307142857142854;01/03/1991;291.8502142857143;01/04/1999;315.0504857142857;01/04/2018;0.0;01/04/1985;1.305;01/04/1991;2.2228857142857144;01/04/2007;1.1038;01/04/2000;294.52;01/04/2011;0.0;01/04/1995;0.0;01/04/1991;0.0;
01/02/1987;70.1310857142857;01/03/2016;98.90959999999998;01/02/1987;149.34925714285714;01/03/2000;142.6015;01/03/1992;24.306399999999996;01/03/1992;53.86290000000001;01/03/1992;86.09671428571428;01/02/2001;0.0669;01/02/1998;0.6802;01/04/1995;1.8491571428571427;01/03/2003;289.47174285714283;01/04/2018;0.0;01/04/1995;1.0428;01/04/2004;0.0;01/04/2012;0.0348;01/03/1992;283.3067857142857;01/04/2000;277.20885714285714;01/04/2019;0.0;01/04/1986;0.8944714285714285;01/04/1992;1.8316;01/04/2008;4.729500000000001;01/04/2001;302.8323714285715;01/04/2012;0.0;01/04/1996;0.0;01/04/1992;0.0;
01/02/1988;68.5018;01/03/2017;91.9003;01/02/1988;143.67415714285715;01/03/2001;136.77600000000004;01/03/1993;23.414971428571427;01/03/1993;52.824128571428574;01/03/1993;83.70927142857143;01/02/2002;0.11389999999999999;01/02/1999;0.6991714285714287;01/04/1996;3.7622428571428577;01/03/2004;290.51501428571424;01/04/2019;0.0;01/04/1996;1.1481714285714284;01/04/2005;0.0;01/04/2014;0.0;01/03/1993;302.15914285714285;01/04/2001;312.0482714285714;null;null;01/04/1987;0.0;01/04/1993;1.3085285714285713;01/04/2009;6.043799999999999;01/04/2002;318.4815571428571;01/04/2013;0.0;01/04/1998;0.0;01/04/1993;0.0;
